w1, w2, x, y, z
-975, 448, 952, 1073, 1105
44625, 63232, 70832, 77393, 99025
339456, 246400, 327040, 419456, 516256
1573425, 741312, 1154088, 1739313, 2052945
5568000, 1875328, 3366272, 5875328, 6704800
16441425, 4185088, 8526688, 16965713, 18870865
42508800, 8491392, 19377792, 43348608, 47291040
99180081, 15985600, 40413080, 100460081, 107987281
213158400, 28327552, 78610048, 215032448, 228510880
428281425, 47755008, 144344592, 430935633, 453838545
813388800, 77204608, 252507008, 817044608, 854300320
1472639025, 120444352, 423839752, 1477556273, 1535962705
2558739456, 182217600, 686517120, 2565219456, 2653930656
4289593425, 268398592, 1077987008, 4297982033, 4429072465
6968908800, 386159488, 1647094912, 6979599488, 7168711840
11011352625, 544148928, 2456510328, 11024789553, 11291871825
16972876800, 752682112, 3585475712, 16989557888, 17359695520
25586880081, 1023942400, 5132898160, 25607360081, 26111708881
37806912000, 1372194432, 7220803968, 37831805568, 38508631200
54856664625, 1814008768, 9998176232, 54886649393, 55782479185
78288038400, 2368498048, 13645195648, 78323858048, 79494750880
110048108625, 3057564672, 18377904672, 110090575953, 111603515985
152555859456, 3906160000, 24453315200, 152605859456, 154540279456
208789592625, 4942555072, 32174979928, 208848085553, 211297525585
282385958400, 6198622848, 41899047552, 282453982848, 285527890080
377751596625, 7710131968, 54040821968, 377830272593, 381655947985
500188416000, 9517052032, 69081845632, 500278947968, 505003645600
656033580081, 11663870400, 87577527240, 656137260081, 661930444881
852815308800, 14199920512, 110165333888, 852933519488, 859989289120
1099425644625, 17179721728, 137573567872, 1099559862353, 1108099539025
1406311372800, 20663330688, 170630748288, 1406463170688, 1416738068640
1785684325425, 24716704192, 210275617592, 1785855376433, 1798149750865
2251752339456, 29412073600, 257567793280, 2251944419456, 2266578602656
2820972179025, 34828330752, 313699084848, 2821187169873, 2838520900305
3512325772800, 41051425408, 380005496192, 3512565665408, 3533001615520
4347621157425, 48174774208, 457979933608, 4347888054833, 4371875563345
5351819558400, 56299681152, 549285639552, 5352115678848, 5380154693280
6553390080081, 65535769600, 655770372320, 6553717760081, 6586362995281
7984693516800, 76001425792, 779481351808, 7985055214208, 8022920532640
9682396837425, 87824253888, 922680991512, 9682795134513, 9726558154065
11687919936000, 101141542528, 1087863436928, 11688357542528, 11738764477600
14047916281425, 116100742912, 1277771930512, 14048396037713, 14106266779345
16814789139456, 132859958400, 1495417023360, 16815314019456, 16881547460256
20047245080625, 151588445632, 1744095653768, 20047818194993, 20123397804625
23810886528000, 172467127168, 2027411112832, 23811511127168, 23897510784160
28178845139025, 195689115648, 2349293917248, 28179524616273, 28277114701905
33232457856000, 221460249472, 2714023609472, 33233195750528, 33343649510560
39061987500081, 249999640000, 3126251505400, 39062787500081, 39187487680081
45767389824000, 281540230272, 3591024409728, 45768255769728, 45908701529760
53459128979025, 316329365248, 4113809319152, 53460064865873, 53617878980305
62259043392000, 354629373568, 4700519133568, 62260053373568, 62436989721760
72301264088625, 396718160832, 5357539395432, 72302352479793, 72500303833425
83733187539456, 442889814400, 6091756077440, 83734358819456, 83955364932256
96716505145425, 493455219712, 6910584438688, 96717763960913, 96964019966545
111428291520000, 548742688128, 7821998969472, 111429642688128, 111703507812000
128062153765425, 609098596288, 8834564444888, 128063602276913, 128367608867665
146829443980800, 674888036992, 9957468107392, 146830995003008, 147167857889440
167960537280081, 746495481600, 11200552998480, 167962196160081, 168334822339281
191706177638400, 824325453952, 12574352459648, 191707949906048, 192119448568480
218338893925425, 908803215808, 14090125822792, 218340785296433, 218794478193745
248154488524800, 1000375463808, 15759895310208, 248156504903808, 248655937065120
281473600979025, 1099511037952, 17596484164352, 281475748462673, 282024699265105
318643349139456, 1206701641600, 19613556027520, 318645634019456, 319248128618656
360039050341425, 1322462572992, 21825655591608, 360041479107633, 360701800234065
406066025164800, 1447333468288, 24248250538112, 406068604508288, 406791304635040
457161486380625, 1581879056128, 26897774788528, 457164223196753, 457954137084625
513796515724800, 1726689923712, 29791673085312, 513799417116288, 514661674741920
576478131180081, 1882383294400, 32948446923560, 576481204460081, 577421244332881
645751447488000, 2049603816832, 36387701853568, 645754700183168, 646778283056800
722201932652625, 2229024365568, 40130196174432, 722205372506193, 723318595490385
806457763238400, 2421346853248, 44197891038848, 806461398213248, 807670709291680
899192281304625, 2627303054272, 48614001989272, 899196119586353, 900508332546385
1001126555859456, 2847655440000, 53403051945600, 1001130605859456, 1002552915639456
1113032051756625, 3083198025472, 58590925664528, 1113036322115153, 1114576320575185
1235733408998400, 3334757227648, 64204925690752, 1235737908587648, 1237403600709280
1370111335448625, 3603192735168, 70273829820168, 1370116073375793, 1371915893896785
1517105616000000, 3889398389632, 76827950095232, 1517110601610368, 1519053432100000
1677718241280081, 4194303078400, 83899193352640, 1677723484160081, 1679818670540881
1853016659020800, 4518871638912, 91521123343488, 1853022169001088, 1855279539522720
2044137151256625, 4864105774528, 99729024446072, 2044142938415153, 2046572822086225
2252288340556800, 5231044981888, 108559966991488, 2252294415221888, 2254907660705440
2478754828537425, 5620767489792, 118052874222192, 2478761201290833, 2481569196269265
2724900969939456, 6034391209600, 128248590903680, 2724907651619456, 2727922342634656
2992174785599025, 6473074697152, 139189953609448, 2992181787303473, 2995415700077905
3282112017676800, 6938018126208, 150921862699392, 3282119350766208, 3285585611010720
3596340330553425, 7430464273408, 163491356011808, 3596348006654033, 3600060361368145
3936583660838400, 7951699514752, 176947684289152, 3936591691845248, 3940564531115680
4304666719980081, 8503054833600, 191342388357720, 4304675118060081, 4308923497363281
4702519653004800, 9085906840192, 206729378081408, 4702528430599808, 4707068093614240
5132182856953425, 9701678802688, 223165013109712, 5132192026783313, 5137039428717265
5595811962624000, 10351841689728, 240708185440128, 5595821537689728, 5600993869130400
6095682983269425, 11037915224512, 259420403815112, 6095692976856113, 6101208188145745
6634197633939456, 11761468950400, 279365879973760, 6634208059619456, 6640084885764256
7213888825196625, 12524123308032, 300611616778368, 7213899696832593, 7220157682950225
7837426334976000, 13327550723968, 323227498236032, 7837437666723968, 7844097194035360
8507622662399025, 14173476710848, 347286381435448, 8507634468711473, 8514716781082705
9227439067392000, 15063680979072, 372864190419072, 9227451363020928, 9234978594060960
