w1, w2, x, y, z
10, 6, 6, 10, 26
10, 8, 8, 10, 26
52, 20, 20, 52, 65
52, 20, 25, 52, 65
68, 32, 32, 68, 85
68, 32, 40, 68, 85
60, 36, 36, 60, 61
60, 36, 36, 60, 65
60, 36, 36, 60, 68
60, 36, 36, 60, 75
60, 36, 36, 60, 87
60, 36, 39, 60, 65
60, 36, 45, 60, 75
52, 48, 48, 52, 65
60, 48, 48, 60, 61
60, 48, 48, 60, 65
60, 48, 48, 60, 68
60, 48, 48, 60, 75
60, 48, 48, 60, 87
60, 48, 52, 60, 65
68, 60, 60, 68, 85
20, 12, 12, 20, 25
20, 12, 12, 20, 29
20, 12, 12, 20, 52
20, 12, 15, 20, 25
20, 16, 16, 20, 25
20, 16, 16, 20, 29
20, 16, 16, 20, 52
45, 27, 27, 45, 51
45, 27, 27, 45, 53
45, 27, 27, 45, 75
45, 36, 36, 45, 51
45, 36, 36, 45, 53
45, 36, 36, 45, 75
30, 18, 18, 30, 34
30, 18, 18, 30, 50
30, 18, 18, 30, 78
30, 24, 24, 30, 34
30, 24, 24, 30, 50
30, 24, 24, 30, 78
70, 42, 42, 70, 74
70, 56, 56, 70, 74
13, 5, 5, 13, 85
13, 12, 12, 13, 85
39, 15, 15, 39, 65
39, 15, 15, 39, 89
39, 15, 25, 39, 65
39, 36, 36, 39, 65
39, 36, 36, 39, 89
55, 33, 33, 55, 73
40, 24, 24, 40, 41
40, 24, 24, 40, 50
40, 24, 24, 40, 58
40, 24, 24, 40, 85
40, 24, 30, 40, 50
55, 44, 44, 55, 73
40, 32, 32, 40, 41
40, 32, 32, 40, 50
40, 32, 32, 40, 58
40, 32, 32, 40, 85
80, 48, 48, 80, 82
80, 48, 48, 80, 89
80, 64, 64, 80, 82
80, 64, 64, 80, 89
15, 9, 9, 15, 17
15, 9, 9, 15, 25
15, 9, 9, 15, 39
15, 12, 12, 15, 17
15, 12, 12, 15, 25
15, 12, 12, 15, 39
65, 16, 16, 65, 97
65, 25, 25, 65, 97
65, 33, 33, 65, 97
65, 39, 39, 65, 97
5, 3, 3, 5, 13
5, 4, 4, 5, 13
65, 52, 52, 65, 97
65, 56, 56, 65, 97
65, 60, 60, 65, 97
65, 63, 63, 65, 97
25, 7, 7, 25, 65
25, 15, 15, 25, 65
25, 20, 20, 25, 65
25, 24, 24, 25, 65
75, 21, 21, 75, 85
35, 21, 21, 35, 37
35, 21, 21, 35, 91
75, 45, 45, 75, 85
75, 45, 51, 75, 85
35, 28, 28, 35, 37
35, 28, 28, 35, 91
75, 60, 60, 75, 85
75, 60, 68, 75, 85
75, 72, 72, 75, 85
51, 24, 24, 51, 85
51, 24, 40, 51, 85
51, 45, 45, 51, 85
